model,topic,dissenter,turn,tokens,entropy,hedgeCount,certaintyCount,latency,length
openai:gpt-4,unknown,unknown,0,346,6.717,4,0,11904,2309
openai:gpt-4,unknown,unknown,0,91,5.634,0,0,10160,633
openai:gpt-4,unknown,unknown,0,80,5.703,0,0,3849,472
openai:gpt-4,unknown,unknown,0,92,6.063,1,1,3400,561
openai:gpt-4,unknown,unknown,0,383,7.110,3,0,17064,2621
openai:gpt-4,unknown,unknown,0,462,6.869,2,0,13519,2979
openai:gpt-4,unknown,unknown,0,91,5.670,0,0,8364,604
openai:gpt-4,unknown,unknown,0,113,6.206,0,0,6483,650
openai:gpt-4,unknown,unknown,0,84,5.822,2,0,3511,539
openai:gpt-4,unknown,unknown,0,385,6.882,6,0,12847,2579
openai:gpt-4,unknown,unknown,0,481,7.209,4,1,31241,3272
openai:gpt-4,unknown,unknown,0,102,6.039,0,0,4216,654
openai:gpt-4,unknown,unknown,0,73,5.692,1,0,3491,443
openai:gpt-4,unknown,unknown,0,99,5.888,2,0,4670,625
openai:gpt-4,unknown,unknown,0,456,7.095,0,0,14823,2934
openai:gpt-4,unknown,unknown,0,373,6.968,0,0,23887,2493
openai:gpt-4,unknown,unknown,0,86,5.772,0,0,7032,552
openai:gpt-4,unknown,unknown,0,77,5.820,0,1,6134,465
openai:gpt-4,unknown,unknown,0,93,5.823,1,0,4316,575
openai:gpt-4,unknown,unknown,0,489,7.131,4,0,21217,3380
openai:gpt-4,unknown,unknown,0,332,6.631,2,0,14329,2244
openai:gpt-4,unknown,unknown,0,92,5.708,1,0,7583,562
openai:gpt-4,unknown,unknown,0,88,5.828,1,1,5351,529
openai:gpt-4,unknown,unknown,0,99,5.964,1,0,6718,616
openai:gpt-4,unknown,unknown,0,384,7.063,5,0,30344,2646
openai:gpt-4,unknown,unknown,0,400,6.800,2,2,31414,2693
openai:gpt-4,unknown,unknown,0,138,6.046,2,0,4562,861
openai:gpt-4,unknown,unknown,0,108,6.084,1,0,4589,655
openai:gpt-4,unknown,unknown,0,67,5.816,1,0,3035,445
openai:gpt-4,unknown,unknown,0,433,6.865,5,0,16825,3058
openai:gpt-4,unknown,unknown,0,310,6.622,2,0,10115,1928
openai:gpt-4,unknown,unknown,0,77,5.655,1,0,3147,514
openai:gpt-4,unknown,unknown,0,69,5.808,2,0,3388,445
openai:gpt-4,unknown,unknown,0,77,5.645,2,0,2760,468
openai:gpt-4,unknown,unknown,0,343,6.961,0,0,25258,2347
openai:gpt-4,unknown,unknown,0,449,7.019,1,0,21879,3074
openai:gpt-4,unknown,unknown,0,90,5.708,1,0,3738,591
openai:gpt-4,unknown,unknown,0,84,5.855,2,0,4229,487
openai:gpt-4,unknown,unknown,0,80,5.742,1,0,3952,479
openai:gpt-4,unknown,unknown,0,395,6.838,1,0,13413,2723
openai:gpt-4,unknown,unknown,0,357,6.670,0,0,24124,2193
openai:gpt-4,unknown,unknown,0,119,6.117,1,1,3856,753
openai:gpt-4,unknown,unknown,0,87,5.957,1,0,6371,528
openai:gpt-4,unknown,unknown,0,89,5.775,1,0,2826,560
openai:gpt-4,unknown,unknown,0,454,7.236,3,0,16258,2948
openai:gpt-4,unknown,unknown,0,323,6.842,2,0,8761,2177
openai:gpt-4,unknown,unknown,0,101,6.101,0,0,4048,658
openai:gpt-4,unknown,unknown,0,89,5.991,0,0,3917,556
openai:gpt-4,unknown,unknown,0,106,5.953,0,0,4960,650
openai:gpt-4,unknown,unknown,0,381,6.979,5,0,27882,2470
openai:gpt-4,unknown,unknown,0,382,7.037,5,0,11966,2425
openai:gpt-4,unknown,unknown,0,87,5.834,1,0,4739,531
openai:gpt-4,unknown,unknown,0,81,5.926,2,1,3424,495
openai:gpt-4,unknown,unknown,0,75,5.645,1,0,3789,468
openai:gpt-4,unknown,unknown,0,373,6.728,2,0,13883,2399
openai:gpt-4,unknown,unknown,0,397,7.082,4,0,29245,2653
openai:gpt-4,unknown,unknown,0,96,5.982,0,0,4112,618
openai:gpt-4,unknown,unknown,0,90,5.773,0,0,3969,554
openai:gpt-4,unknown,unknown,0,88,5.708,2,0,3616,546
openai:gpt-4,unknown,unknown,0,369,6.957,5,0,12578,2534
